"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"649","S_SharedMemory-PT-000010_LTLC_15_","favoid",16,"tgbarabin","seq",0.0781655555555556,8.271,-1,1830519,19486170,1834919.4,19558925.5,0,0,17662137.3,1832410.4,588498.4,1,0,2
"653","S_SharedMemory-PT-000010_LTLC_3_","favoid",16,"tgbarabin","seq",0.0934888888888889,7.64,-1,1830519,19486170,1832988.7,19524662.4,0,0,17661467.7,1832392.1,563955.1,1,0,1
"661","S_Solitaire-PT-EngCT7x7_LTLC_7_","favoid",16,"tgbarabin","seq",0.491156666666667,1.107,10,70908.1,117629.8,70954.5,117882,751.1,44543.7,0,70954.5,417.3,1,0,2
"665","S_TokenRing-PT-010_LTLC_1_","favoid",16,"tgbarabin","seq",0.0183566666666667,2.323,-1,58905,294050,62235.8,307555,0,237386.1,12,62230.8,1982.1,1,0,1
"669","S_TokenRing-PT-010_LTLC_10_","favoid",16,"tgbarabin","seq",0.0148766666666667,2.299,-1,58905,294050,62297.2,307648.4,0,237410.5,8.4,62294.3,2054.1,1,0,1
"673","S_TokenRing-PT-010_LTLC_11_","favoid",16,"tgbarabin","seq",0.0542,2.33,-1,58905,294050,62210.1,307137.5,0,237346.3,7.1,62209,2043.6,1,0,1
"678","S_TokenRing-PT-010_LTLC_4_","favoid",16,"tgbarabin","seq",0.0150622222222222,2.338,-1,58905,294050,62268.1,307921.2,0,237534.5,8.2,62265.4,1962,1,0,1
"692","SwimmingPool-PT-04_LTLC_7_","favoid",16,"tgbarabin","seq",17.7861822222222,125.264,-1,196009988,1230977592,201168912.2,1266156969.5,0,155275593.3,886081891.4,197090080.2,160545474.4,1,0,2
"705","SwimmingPool-PT-10_LTLC_12_","favoid",16,"tgbarabin","seq",0.160382222222222,1.636,10,1236001,2458085.2,3132815.1,7666351.6,0,4092702.8,1.1,3132815.1,6417.9,1,0,2
"709","TokenRing-PT-010_LTLC_1_","favoid",16,"tgbarabin","seq",0.0246988888888889,2.321,-1,58905,294050,62062.9,306593.8,0,237157.6,5.5,62061,1951.7,1,0,1
"713","TokenRing-PT-010_LTLC_10_","favoid",16,"tgbarabin","seq",0.0103655555555555,2.321,-1,58905,294050,61765.9,306582.7,0,237240.5,5.5,61763.5,1621.3,1,0,1
"717","TokenRing-PT-010_LTLC_11_","favoid",16,"tgbarabin","seq",0.0428177777777778,2.418,-1,58905,294050,62426.5,308797.6,0,237577.5,8,62423.7,1966.4,1,0,1
"722","TokenRing-PT-010_LTLC_4_","favoid",16,"tgbarabin","seq",0.0252266666666666,2.276,-1,58905,294050,61994.3,306424.9,0,237170,9.6,61990.9,1942.3,1,0,1
