"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"605","S_PermAdmissibility-PT-01_LTLC_5_","ufscc",16,"tgba","-1",0.00851555555555557,2.164,-1,52537,73288,55517.6,79299.3,19114.9,3188.4,0,55517.6,272,-1,-1,1
"613","S_PhilosophersDyn-PT-10_LTLC_2_","ufscc",16,"tgba","-1",0.129493333333334,9.244,-1,386491,1484275,388892.9,1514459.4,14043.4,1084691.8,6791.3,388619.4,291.5,-1,-1,2
"621","S_Philosophers-PT-000050_LTLC_0_","ufscc",16,"tgba","-1",0.332578888888889,6.637,10120.3,116612,2173516,116628.2,2175149.4,2,0,211859.2,116628.2,114402.4,-1,-1,2
"626","S_QuasiCertifProtocol-PT-06_LTLC_11_","ufscc",16,"tgba","-1",0.152626666666667,6.854,53,409457.8,2158027,413744.2,2216964.2,1395.7,1757032.6,0,413744.2,602.5,-1,-1,5
"633","S_QuasiCertifProtocol-PT-06_LTLC_7_","ufscc",16,"tgba","-1",0.128743333333333,11.061,-1,2288407,16105778,2302305.8,16284347,4247.2,13844372.9,0,2302305.8,1007.8,-1,-1,2
"634","S_ResAllocation-PT-R100C002_LTLC_2_","ufscc",16,"tgba","-1",0,999.999,3212.2,22348900.8,110591798.3,22349085,110592363.9,3.8,88100948.4,308.7,22349085,29831.8,-1,-1,4
"638","S_RwMutex-PT-r0020w0010_LTLC_3_","ufscc",16,"tgba","-1",0.0254011111111111,4.623,-1,1048586,20971540,1049891.9,20997563.7,0,0,19925932,1048729,1030145.1,-1,-1,1
"642","S_SharedMemory-PT-000010_LTLC_1_","ufscc",16,"tgba","-1",0.01996,7.684,-1,1830519,19486170,1833320.1,19527721.4,0,0,17661641,1832490.8,588209.3,-1,-1,1
"650","S_SharedMemory-PT-000010_LTLC_15_","ufscc",16,"tgba","-1",0.0964888888888889,7.66,-1,1830519,19486170,1833863,19537837,0,0,17662644.7,1832527.5,570328.7,-1,-1,2
"654","S_SharedMemory-PT-000010_LTLC_3_","ufscc",16,"tgba","-1",0.0879955555555556,7.632,-1,1830519,19486170,1833526,19534604,0,0,17661202.2,1832316.3,594143.9,-1,-1,1
"662","S_Solitaire-PT-EngCT7x7_LTLC_7_","ufscc",16,"tgba","-1",0.339671111111111,1.004,26,72556.6,120835.8,72604.2,121091.6,668.7,46155.5,0,72604.2,411.2,-1,-1,2
"666","S_TokenRing-PT-010_LTLC_1_","ufscc",16,"tgba","-1",0.00832888888888889,2.298,-1,58905,294050,62028.1,306685.5,0,237347,10.3,62025.3,1926.5,-1,-1,1
"670","S_TokenRing-PT-010_LTLC_10_","ufscc",16,"tgba","-1",0.0294988888888889,2.391,-1,58905,294050,62020.3,307112.1,0,237359.6,7,62018,1832.5,-1,-1,1
"674","S_TokenRing-PT-010_LTLC_11_","ufscc",16,"tgba","-1",0.0145288888888889,2.262,-1,58905,294050,62124,306593.5,0,237197.1,10.1,62119.9,2015.6,-1,-1,1
"679","S_TokenRing-PT-010_LTLC_4_","ufscc",16,"tgba","-1",0.0519433333333334,2.401,-1,58905,294050,62243.3,308259.2,0,237647.4,8.9,62241.9,1895.4,-1,-1,1
"693","SwimmingPool-PT-04_LTLC_7_","ufscc",16,"tgba","-1",8.97877333333332,118.678,-1,196009988,1230977592,200669744.3,1262377799.9,0,156369448.1,886581236.5,197473778.2,160503071.7,-1,-1,2
"706","SwimmingPool-PT-10_LTLC_12_","ufscc",16,"tgba","-1",0.0175833333333333,1.585,287.9,1392042.1,2778732.7,3322498.4,8330651.7,0,4494252.1,1.2,3322498.4,6492.2,-1,-1,2
"710","TokenRing-PT-010_LTLC_1_","ufscc",16,"tgba","-1",0.01361,2.249,-1,58905,294050,62090.9,306909.5,0,237295.5,8.7,62088.9,1965.1,-1,-1,1
"714","TokenRing-PT-010_LTLC_10_","ufscc",16,"tgba","-1",0.00832888888888888,2.332,-1,58905,294050,62422.9,308656.4,0,237639.3,9.3,62420.1,1985.5,-1,-1,1
"718","TokenRing-PT-010_LTLC_11_","ufscc",16,"tgba","-1",0.0111288888888889,2.292,-1,58905,294050,62087,307471.4,0,237517.9,9.6,62083.7,1873.8,-1,-1,1
"723","TokenRing-PT-010_LTLC_4_","ufscc",16,"tgba","-1",0.0257122222222222,2.317,-1,58905,294050,62151.3,308386.5,0,237629.4,6.3,62150,1785.1,-1,-1,1
